holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,time_diff,cluster_id
,281.41,0.0,0.0,90,Mist,mist,2017-04-13 10:00:00,4576,0 days 08:00:00,2564
,281.41,0.0,0.0,90,Haze,haze,2017-04-13 10:00:00,4576,0 days 00:00:00,2564
,281.9,0.0,0.0,90,Haze,haze,2017-04-13 11:00:00,5033,0 days 01:00:00,2564
,281.9,0.0,0.0,90,Mist,mist,2017-04-13 11:00:00,5033,0 days 00:00:00,2564
,282.15,0.0,0.0,90,Haze,haze,2017-04-13 12:00:00,5138,0 days 01:00:00,2564
,282.15,0.0,0.0,90,Mist,mist,2017-04-13 12:00:00,5138,0 days 00:00:00,2564
,282.34,0.0,0.0,90,Haze,haze,2017-04-13 13:00:00,5296,0 days 01:00:00,2564
,282.34,0.0,0.0,90,Mist,mist,2017-04-13 13:00:00,5296,0 days 00:00:00,2564
,283.41,0.0,0.0,90,Haze,haze,2017-04-13 14:00:00,5400,0 days 01:00:00,2564
,283.41,0.0,0.0,90,Mist,mist,2017-04-13 14:00:00,5400,0 days 00:00:00,2564
,283.4,0.0,0.0,90,Haze,haze,2017-04-13 15:00:00,5914,0 days 01:00:00,2564
,284.03,0.0,0.0,90,Haze,haze,2017-04-13 16:00:00,6750,0 days 01:00:00,2564
,284.4,0.0,0.0,90,Clouds,overcast clouds,2017-04-13 17:00:00,6478,0 days 01:00:00,2564
,284.42,0.0,0.0,90,Clouds,overcast clouds,2017-04-13 18:00:00,5082,0 days 01:00:00,2564
,284.59,0.0,0.0,90,Clouds,overcast clouds,2017-04-13 19:00:00,3632,0 days 01:00:00,2564
,284.15,0.0,0.0,90,Clouds,overcast clouds,2017-04-13 20:00:00,3187,0 days 01:00:00,2564
,284.02,0.0,0.0,90,Clouds,overcast clouds,2017-04-13 21:00:00,2929,0 days 01:00:00,2564
,283.28,0.0,0.0,90,Clouds,overcast clouds,2017-04-13 22:00:00,2488,0 days 01:00:00,2564
,282.85,0.0,0.0,90,Clouds,overcast clouds,2017-04-13 23:00:00,1270,0 days 01:00:00,2564
,282.78,0.0,0.0,90,Clouds,overcast clouds,2017-04-14 00:00:00,1460,0 days 01:00:00,2564
,282.53,0.0,0.0,40,Clouds,scattered clouds,2017-04-14 01:00:00,462,0 days 01:00:00,2564
,282.16,0.0,0.0,90,Clouds,overcast clouds,2017-04-14 02:00:00,304,0 days 01:00:00,2564
,281.75,0.0,0.0,90,Clouds,overcast clouds,2017-04-14 03:00:00,331,0 days 01:00:00,2564
,281.69,0.0,0.0,75,Clouds,broken clouds,2017-04-14 04:00:00,834,0 days 01:00:00,2564
,281.65,0.0,0.0,90,Clouds,overcast clouds,2017-04-14 05:00:00,2425,0 days 01:00:00,2564
,281.69,0.0,0.0,90,Clouds,overcast clouds,2017-04-14 06:00:00,5055,0 days 01:00:00,2564
,281.75,0.0,0.0,90,Clouds,overcast clouds,2017-04-14 07:00:00,6026,0 days 01:00:00,2564
,282.08,0.0,0.0,75,Clouds,broken clouds,2017-04-14 08:00:00,5150,0 days 01:00:00,2564
,283.41,0.0,0.0,1,Clear,sky is clear,2017-04-14 09:00:00,4809,0 days 01:00:00,2564
,283.88,0.0,0.0,40,Clouds,scattered clouds,2017-04-14 10:00:00,4763,0 days 01:00:00,2564
,285.51,0.0,0.0,75,Haze,haze,2017-04-14 11:00:00,5201,0 days 01:00:00,2564
,286.59,0.0,0.0,40,Rain,light rain,2017-04-14 12:00:00,5598,0 days 01:00:00,2564
,286.59,0.0,0.0,40,Haze,haze,2017-04-14 12:00:00,5598,0 days 00:00:00,2564
,288.48,0.0,0.0,1,Haze,haze,2017-04-14 13:00:00,5471,0 days 01:00:00,2564
,288.84,0.0,0.0,1,Haze,haze,2017-04-14 14:00:00,5705,0 days 01:00:00,2564
,288.84,0.0,0.0,1,Drizzle,light intensity drizzle,2017-04-14 14:00:00,5705,0 days 00:00:00,2564
,290.49,0.0,0.0,40,Clouds,scattered clouds,2017-04-14 15:00:00,5789,0 days 01:00:00,2564
,290.21,0.0,0.0,1,Rain,light rain,2017-04-14 16:00:00,6017,0 days 01:00:00,2564
,290.21,0.0,0.0,1,Mist,mist,2017-04-14 16:00:00,6017,0 days 00:00:00,2564
,290.15,0.0,0.0,90,Rain,light rain,2017-04-14 17:00:00,5557,0 days 01:00:00,2564
,290.15,0.0,0.0,90,Drizzle,light intensity drizzle,2017-04-14 17:00:00,5557,0 days 00:00:00,2564
,289.81,0.0,0.0,75,Rain,light rain,2017-04-14 18:00:00,4990,0 days 01:00:00,2564
,289.81,0.0,0.0,75,Haze,haze,2017-04-14 18:00:00,4990,0 days 00:00:00,2564
,289.02,0.0,0.0,90,Mist,mist,2017-04-14 19:00:00,3773,0 days 01:00:00,2564
,289.02,0.0,0.0,90,Rain,light rain,2017-04-14 19:00:00,3773,0 days 00:00:00,2564
,289.02,0.0,0.0,90,Haze,haze,2017-04-14 19:00:00,3773,0 days 00:00:00,2564
,289.02,0.0,0.0,90,Drizzle,light intensity drizzle,2017-04-14 19:00:00,3773,0 days 00:00:00,2564
,287.46,0.0,0.0,90,Drizzle,heavy intensity drizzle,2017-04-14 20:00:00,3101,0 days 01:00:00,2564
,287.46,0.0,0.0,90,Rain,moderate rain,2017-04-14 20:00:00,3101,0 days 00:00:00,2564
,287.46,0.0,0.0,90,Haze,haze,2017-04-14 20:00:00,3101,0 days 00:00:00,2564
,287.46,0.0,0.0,90,Mist,mist,2017-04-14 20:00:00,3101,0 days 00:00:00,2564
,287.15,0.0,0.0,90,Rain,moderate rain,2017-04-14 21:00:00,2872,0 days 01:00:00,2564
,287.15,0.0,0.0,90,Haze,haze,2017-04-14 21:00:00,2872,0 days 00:00:00,2564
,287.15,0.0,0.0,90,Mist,mist,2017-04-14 21:00:00,2872,0 days 00:00:00,2564
,287.15,0.0,0.0,90,Drizzle,light intensity drizzle,2017-04-14 21:00:00,2872,0 days 00:00:00,2564
,286.88,0.0,0.0,90,Rain,light rain,2017-04-14 22:00:00,4752,0 days 01:00:00,2564
,286.88,0.0,0.0,90,Mist,mist,2017-04-14 22:00:00,4752,0 days 00:00:00,2564
,286.88,0.0,0.0,90,Rain,moderate rain,2017-04-14 23:00:00,2049,0 days 01:00:00,2564
,286.88,0.0,0.0,90,Thunderstorm,proximity thunderstorm with rain,2017-04-14 23:00:00,2049,0 days 00:00:00,2564
,286.88,0.0,0.0,90,Mist,mist,2017-04-14 23:00:00,2049,0 days 00:00:00,2564
,286.88,0.0,0.0,90,Mist,mist,2017-04-15 00:00:00,1209,0 days 01:00:00,2564
,286.88,0.0,0.0,90,Rain,heavy intensity rain,2017-04-15 00:00:00,1209,0 days 00:00:00,2564
,286.88,0.0,0.0,90,Drizzle,drizzle,2017-04-15 00:00:00,1209,0 days 00:00:00,2564
,286.71,0.0,0.0,90,Rain,moderate rain,2017-04-15 01:00:00,799,0 days 01:00:00,2564
,286.71,0.0,0.0,90,Mist,mist,2017-04-15 01:00:00,799,0 days 00:00:00,2564
,286.71,0.0,0.0,90,Drizzle,drizzle,2017-04-15 01:00:00,799,0 days 00:00:00,2564
,286.69,0.0,0.0,90,Thunderstorm,thunderstorm with light rain,2017-04-15 02:00:00,542,0 days 01:00:00,2564
,286.69,0.0,0.0,90,Rain,light rain,2017-04-15 02:00:00,542,0 days 00:00:00,2564
,286.69,0.0,0.0,90,Mist,mist,2017-04-15 02:00:00,542,0 days 00:00:00,2564
,286.71,0.0,0.0,90,Rain,moderate rain,2017-04-15 03:00:00,409,0 days 01:00:00,2564
,286.71,0.0,0.0,90,Drizzle,drizzle,2017-04-15 03:00:00,409,0 days 00:00:00,2564
,286.71,0.0,0.0,90,Mist,mist,2017-04-15 03:00:00,409,0 days 00:00:00,2564
,286.71,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2017-04-15 03:00:00,409,0 days 00:00:00,2564
,286.88,0.0,0.0,90,Drizzle,drizzle,2017-04-15 04:00:00,367,0 days 01:00:00,2564
,286.88,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2017-04-15 04:00:00,367,0 days 00:00:00,2564
,286.88,0.0,0.0,90,Mist,mist,2017-04-15 04:00:00,367,0 days 00:00:00,2564
,286.88,0.0,0.0,90,Rain,moderate rain,2017-04-15 04:00:00,367,0 days 00:00:00,2564
,286.82,0.0,0.0,90,Rain,light rain,2017-04-15 05:00:00,598,0 days 01:00:00,2564
,286.82,0.0,0.0,90,Drizzle,drizzle,2017-04-15 05:00:00,598,0 days 00:00:00,2564
,286.82,0.0,0.0,90,Thunderstorm,thunderstorm with light drizzle,2017-04-15 05:00:00,598,0 days 00:00:00,2564
,286.82,0.0,0.0,90,Mist,mist,2017-04-15 05:00:00,598,0 days 00:00:00,2564
,286.95,0.0,0.0,90,Mist,mist,2017-04-15 06:00:00,1167,0 days 01:00:00,2564
,286.95,0.0,0.0,90,Thunderstorm,proximity thunderstorm with drizzle,2017-04-15 06:00:00,1167,0 days 00:00:00,2564
,286.95,0.0,0.0,90,Rain,moderate rain,2017-04-15 06:00:00,1167,0 days 00:00:00,2564
,287.29,0.0,0.0,90,Mist,mist,2017-04-15 07:00:00,1908,0 days 01:00:00,2564
,287.29,0.0,0.0,90,Rain,moderate rain,2017-04-15 07:00:00,1908,0 days 00:00:00,2564
,287.29,0.0,0.0,90,Drizzle,drizzle,2017-04-15 07:00:00,1908,0 days 00:00:00,2564
,287.29,0.0,0.0,90,Thunderstorm,thunderstorm,2017-04-15 07:00:00,1908,0 days 00:00:00,2564
,287.29,0.0,0.0,90,Haze,haze,2017-04-15 07:00:00,1908,0 days 00:00:00,2564
,287.75,0.0,0.0,90,Rain,moderate rain,2017-04-15 08:00:00,2536,0 days 01:00:00,2564
,287.75,0.0,0.0,90,Mist,mist,2017-04-15 08:00:00,2536,0 days 00:00:00,2564
,287.75,0.0,0.0,90,Thunderstorm,proximity thunderstorm with rain,2017-04-15 08:00:00,2536,0 days 00:00:00,2564
,287.95,0.0,0.0,90,Mist,mist,2017-04-15 09:00:00,3310,0 days 01:00:00,2564
,287.95,0.0,0.0,90,Haze,haze,2017-04-15 09:00:00,3310,0 days 00:00:00,2564
,287.95,0.0,0.0,90,Rain,moderate rain,2017-04-15 09:00:00,3310,0 days 00:00:00,2564
,288.15,0.0,0.0,90,Rain,moderate rain,2017-04-15 10:00:00,3876,0 days 01:00:00,2564
,288.15,0.0,0.0,90,Mist,mist,2017-04-15 10:00:00,3876,0 days 00:00:00,2564
,288.15,0.0,0.0,90,Drizzle,light intensity drizzle,2017-04-15 10:00:00,3876,0 days 00:00:00,2564
,288.61,0.0,0.0,90,Mist,mist,2017-04-15 11:00:00,4605,0 days 01:00:00,2564
,288.61,0.0,0.0,90,Rain,light rain,2017-04-15 11:00:00,4605,0 days 00:00:00,2564
,288.61,0.0,0.0,90,Drizzle,drizzle,2017-04-15 11:00:00,4605,0 days 00:00:00,2564
,290.88,0.0,0.0,75,Clouds,broken clouds,2017-04-15 12:00:00,4958,0 days 01:00:00,2564
,292.22,0.0,0.0,75,Clouds,broken clouds,2017-04-15 13:00:00,4515,0 days 01:00:00,2564
,292.55,0.0,0.0,90,Clouds,overcast clouds,2017-04-15 14:00:00,4568,0 days 01:00:00,2564
,292.68,0.0,0.0,75,Clouds,broken clouds,2017-04-15 15:00:00,4340,0 days 01:00:00,2564
,292.89,0.0,0.0,90,Rain,light rain,2017-04-15 16:00:00,4497,0 days 01:00:00,2564
,293.23,0.0,0.0,75,Rain,light rain,2017-04-15 17:00:00,4145,0 days 01:00:00,2564
,292.83,0.0,0.0,90,Thunderstorm,thunderstorm,2017-04-15 18:00:00,4143,0 days 01:00:00,2564
,289.49,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2017-04-15 19:00:00,3483,0 days 01:00:00,2564
,289.49,0.0,0.0,90,Rain,moderate rain,2017-04-15 19:00:00,3483,0 days 00:00:00,2564
,288.57,0.0,0.0,75,Thunderstorm,proximity thunderstorm,2017-04-15 20:00:00,2963,0 days 01:00:00,2564
,288.57,0.0,0.0,75,Rain,proximity shower rain,2017-04-15 20:00:00,2963,0 days 00:00:00,2564
,288.57,0.0,0.0,75,Mist,mist,2017-04-15 20:00:00,2963,0 days 00:00:00,2564
,286.08,0.0,0.0,40,Rain,proximity shower rain,2017-04-15 21:00:00,2704,0 days 01:00:00,2564
,286.08,0.0,0.0,40,Thunderstorm,proximity thunderstorm,2017-04-15 21:00:00,2704,0 days 00:00:00,2564
,286.02,0.0,0.0,1,Rain,moderate rain,2017-04-15 22:00:00,3022,0 days 01:00:00,2564
,284.95,0.0,0.0,75,Clouds,broken clouds,2017-04-15 23:00:00,3509,0 days 01:00:00,2564
,284.82,0.0,0.0,90,Clouds,overcast clouds,2017-04-16 00:00:00,1389,0 days 01:00:00,2564
,284.29,0.0,0.0,1,Clear,sky is clear,2017-04-16 01:00:00,845,0 days 01:00:00,2564
,283.89,0.0,0.0,1,Clear,sky is clear,2017-04-16 02:00:00,788,0 days 01:00:00,2564
,283.15,0.0,0.0,1,Clear,sky is clear,2017-04-16 03:00:00,447,0 days 01:00:00,2564
,282.69,0.0,0.0,1,Clear,sky is clear,2017-04-16 04:00:00,320,0 days 01:00:00,2564
